beneficiary_id,family_id,district_id,state_id,age,gender
1,1,1,1,12,F
2,1,1,1,13,F
3,2,1,1,77,M
4,2,1,1,71,M
5,2,1,1,64,F
6,3,1,1,16,M
7,3,1,1,95,F
8,3,1,1,6,F
9,4,1,1,5,F
10,4,1,1,53,M
11,4,1,1,68,M
12,5,1,1,97,F
13,5,1,1,4,F
14,5,1,1,80,F
15,6,1,1,49,M
16,6,1,1,2,M
17,6,1,1,73,M
18,7,1,1,83,M
19,7,1,1,25,F
20,7,1,1,56,F
21,8,1,1,9,F
22,8,1,1,12,F
23,8,1,1,64,M
24,9,1,1,53,M
25,9,1,1,44,M
26,9,1,1,9,F
27,10,1,1,16,M
28,10,1,1,62,M
29,10,1,1,13,M
30,11,1,1,77,F
31,11,1,1,16,M
32,11,1,1,90,F
33,12,1,1,12,F
34,12,1,1,27,F
35,12,1,1,8,M
36,13,1,1,14,F
37,13,1,1,70,F
38,13,1,1,88,F
39,14,1,1,23,M
40,14,1,1,41,M
41,14,1,1,71,M
42,15,1,1,9,M
43,15,1,1,75,F
44,15,1,1,52,F
45,16,1,1,26,F
46,16,1,1,44,M
47,16,1,1,62,M
48,17,1,1,62,F
49,17,1,1,73,F
50,17,1,1,6,F
51,18,1,1,9,M
52,18,1,1,95,F
53,18,1,1,97,M
54,19,1,1,41,M
55,19,1,1,85,F
56,19,1,1,81,M
57,20,1,1,9,M
58,20,1,1,45,M
59,20,1,1,52,F
60,21,1,1,1,F
61,21,1,1,86,F
62,21,1,1,14,M
63,22,1,1,86,M
64,22,1,1,5,F
65,22,1,1,78,M
66,23,1,1,7,F
67,23,1,1,94,M
68,23,1,1,16,F
69,24,1,1,96,M
70,24,1,1,66,F
71,24,1,1,100,F
72,25,1,1,33,F
73,25,1,1,7,M
74,25,1,1,3,M
75,26,1,1,51,M
76,26,1,1,51,M
77,26,1,1,4,M
78,27,1,1,13,M
79,27,1,1,84,M
80,27,1,1,42,F
81,28,1,1,60,M
82,28,1,1,45,F
